location,height,shoulder,waist,hip,gender,type,code,name,color,description,search,sizing,quantity,satisfaction,price,profit,review,buy
bugis,148.13,14.9,0,0,female,top,top183,KATIE SWEETHEART BUTTON PUFF SLEEVE TOP,matcha,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Non-functional buttons",,s,0,1,33.9,0,Love it !!!!,yes
bugis,160.66,13.3,0,0,female,top,top183,GRETA BUTTON KNIT VEST TOP,white,"Knit, Non sheer, Functional buttons, Tortoise Shell Buttons Differ from Piece to Piece",,s,2,,31.9,63.8,,yes
somerset,176.67,13.5,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,matcha,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",,s,4,2,30.9,123.6,Baggy,yes
somerset,156.44,0,12.8,18.6,female,bottom,bottom183,EVERYDAY CONTRAST STITCH DENIM SHORTS,dark denim,"Functional button, Functional belt loop, Functional zipper, Functional front and back pockets, follow uniqlo sizing",,s,0,2,29.9,0,Super cute & comfy jeans,no
bugis,147.96,16.9,14.8,19.4,female,dress,dress183,ANDRELLE PLAID SKORTS DRESS,plaid,"Polyester, Fully lined bodice, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Adjustable straps",,m,3,1,29.9,89.7,Not for me,yes
bugis,177.87,18.1,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,m,0,2,35.9,0,Pink,no
somerset,169.66,0,12.3,18.2,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,white,"Soft knit, Stretchable, Functional buttons",,s,0,1,30.9,0,Great piece for fall,no
somerset,172.82,16.9,14.2,19.2,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,0,5,29.9,0,Jumpsuit revelations,no
club street,171.46,17.3,14.6,19.2,female,dress,dress183,AMABEL RUCHED BUTTON SHIRT DRESS,black,"Polyester, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional buttons, Ruched details",,m,0,3,33.9,0,Great purchase,yes
bugis,151.17,0,15.6,20.2,male,bottom,bottom183,LIAM RIPPED DENIM JEANS,light denim,"Functional button, Functional belt loop, Functional zipper, Functional front and back pockets, follow uniqlo sizing",,m,0,5,40.9,0,,no
somerset,161.55,16.4,12.9,17.4,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,brown,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",,s,0,2,32.9,0,,no
somerset,179.68,16.7,14.4,18.9,female,dress,dress183,VENICIA SLIT MIDI DRESS,black,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,m,0,2,34.9,0,,no
somerset,161.63,17.1,14.8,18.6,female,dress,dress183,ORIANA TOGA RIBBED DRESS,gunmetal,"Cotton rib, Side Slit Detail",,m,0,1,30.9,0,Beautiful swing dress,no
somerset,152.86,16.3,13.7,17.2,female,dress,dress183,DESIRAE PEARL CHAIN SATIN COWL DRESS,lilac,"Satin, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Removable chain straps",,s,0,1,33.9,0,So adorable,no
somerset,165.05,13.3,0,0,female,top,top183,MAXINE V-NECK LINEN CROP TOP,geometric print,"Made of Linen Material, Comes with Inner Lining, Concealed Back Zipper, Non-functional Buttons",,s,2,2,29.9,59.8,Beautiful top!,yes
somerset,170.69,19.4,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,l,0,4,33.9,0,,no
bugis,148.13,15.3,0,0,female,top,top183,LINDSAY HALTER SHEER SLEEVE TOP,maroon,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Concealed back zipper",,m,0,2,34.9,0,,no
somerset,150.4,17,13.4,17.8,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,0,2,29.9,0,Cute but big!,no
club street,181.1,14.7,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,brown,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",,s,0,2,35.9,0,,no
somerset,178.09,18.8,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,m,3,3,33.9,101.7,Stiff and sturdy,yes
somerset,177.6,0,12.9,18.9,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,3,4,30.9,92.7,Great shorts!,yes
somerset,162.12,13.7,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,brown,"Soft knit, Stretchable, Functional buttons",,s,0,2,40.9,0,,yes
somerset,155.33,13.5,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,latte,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",,s,0,5,35.9,0,,no
somerset,179.81,16.3,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,matcha,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",,l,0,3,30.9,0,On the fence --- some problems,no
somerset,145.8,0,13.6,20.6,female,bottom,bottom183,TANYA U-HEM SKORTS,lilac,"Cotton, Concealed back zipper, Functional pockets, Elastic insert at waist",,l,0,5,26.9,0,Perfect fit and color,no
somerset,160.9,17,14.6,19.3,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,gunmental,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,2,3,29.9,59.8,Lovely!,yes
somerset,178.26,19.2,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,l,2,3,33.9,67.8,,yes
somerset,183.19,14.5,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,green,"Soft knit, Stretchable, Functional buttons",,s,4,4,40.9,163.6,,yes
bugis,179.46,18.4,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,m,4,,35.9,143.6,Beautiful,yes
club street,153.99,17.3,14.4,19.3,female,dress,dress183,DESIRAE PEARL CHAIN SATIN COWL DRESS,lilac,"Satin, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Removable chain straps",,m,0,2,33.9,0,,no
somerset,172.1,0,12,18,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,white,"Soft knit, Stretchable, Functional buttons",,s,0,2,30.9,0,Cuter for fall than spring,no
somerset,176.91,19.3,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,gingham,"Polyester, Functional buttons, Functional wrist buttons",gingham,l,4,5,35.9,143.6,Unwearable but pretty,yes
club street,162.82,19,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,gingham,"Polyester, Functional buttons, Functional wrist buttons",gingham,m,4,1,35.9,143.6,,yes
somerset,146.42,0,12.4,18.8,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,3,2,30.9,92.7,Comfy yer dressy,yes
somerset,176.89,17.3,14.8,19,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,brown,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",,m,2,1,32.9,65.8,Comfy dress with plenty of compliments,yes
somerset,148.13,17.2,14.5,18.5,female,dress,dress183,VENICIA SLIT MIDI DRESS,black,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,m,0,4,34.9,0,Poor quality,no
bugis,179.71,16.8,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,s,3,4,33.9,101.7,,yes
somerset,179.63,0,12,18.5,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,0,,30.9,0,Comfortable,no
bugis,160.81,0,12.1,18,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",skorts,s,4,,30.9,123.6,Love these pants,yes
club street,184.72,14.3,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,baby blue,"Soft knit, Stretchable, Functional buttons",,s,0,4,40.9,0,"Flattering, comfy top",no
club street,168.64,0,16,21.3,male,bottom,bottom183,LIAM RIPPED DENIM JEANS,light denim,"Functional button, Functional belt loop, Functional zipper, Functional front and back pockets, follow uniqlo sizing",,l,1,3,40.9,40.9,Amazing!!,yes
somerset,167.01,0,16,20.4,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,beige,"Polyester, Fake Pockets, Non-Stretchable",,m,0,5,30.9,0,Spectacular romper!,yes
somerset,172.53,0,12.1,18.3,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,0,2,30.9,0,Perfect,yes
club street,176.61,0,12.6,18.9,female,bottom,bottom183,EVERYDAY CONTRAST STITCH DENIM SHORTS,dark denim,"Functional button, Functional belt loop, Functional zipper, Functional front and back pockets, follow uniqlo sizing",,s,0,2,29.9,0,Great pants,yes
club street,153.67,13.1,0,0,female,top,top183,GRETA BUTTON KNIT VEST TOP,white,"Knit, Non sheer, Functional buttons, Tortoise Shell Buttons Differ from Piece to Piece",,s,0,2,31.9,0,Strange armhole construction,no
somerset,164.7,13.1,0,0,female,top,top183,CELINE HIGH CUT RIBBED TOP,grey,"Cotton Rib, None, Non sheer, Stretchable",,s,3,3,29.9,89.7,"Fresh fit, great colors",yes
somerset,179.86,19.5,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,l,0,3,33.9,0,Love pattern,no
bugis,166.55,16.7,14.2,18.9,female,dress,dress183,THEA FLUTTER SLEEVE MIDI DRESS ,floral,"Embroidery cotton, Fully lined, Non sheer, No stretch, Concealed back zipper, *Floral placement differs for each piece",,m,0,4,30.9,0,Beutiful dress,yes
somerset,174.33,0,12.2,18.6,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,0,1,30.9,0,Favorite summer piece!,no
somerset,147.09,0,13.5,20.2,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,l,0,5,30.9,0,The perfect jeans!,no
somerset,145.22,18.7,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,black,"Polyester, Functional buttons, Functional wrist buttons",long,m,3,2,35.9,107.7,Flattering top,yes
somerset,167.16,0,13.5,20.1,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,white,"Soft knit, Stretchable, Functional buttons",,l,2,5,30.9,61.8,Light and comfy,yes
bugis,155.81,17.2,13.3,17.6,female,dress,dress183,ESTHER SWEETHEART CHIFFON MIDI DRESS,floral,"Chiffon, Fully lined, Non sheer, No stretch, Concealed back zipper, Concealed front slit zipper, Adjustable straps",,m,4,2,30.9,123.6,Beautiful dress!,yes
somerset,184.56,13.9,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,baby blue,"Soft knit, Stretchable, Functional buttons",,s,0,5,40.9,0,Cute but short,no
somerset,162.67,16.9,14.9,18.7,female,dress,dress183,VENICIA SLIT MIDI DRESS,black,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,m,0,,34.9,0,Perfect dress for me!,no
club street,167.37,19.6,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,l,0,4,33.9,0,,yes
club street,152.15,0,15.5,21.2,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,brown,"Polyester, Fake Pockets, Non-Stretchable",,l,0,2,30.9,0,Like a hug for your lower half!,no
club street,171.9,0,13.7,20.8,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,l,2,3,30.9,61.8,Not the boyfriend jean i was looking for,yes
bugis,171.19,13.2,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,grey,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",,s,0,1,35.9,0,Go to top,no
bugis,157.57,13.8,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,brown,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",blazer,s,0,5,35.9,0,A tad thin and see through,no
somerset,164.6,0,12.8,18.7,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,0,4,30.9,0,Sizing way off,no
somerset,150.38,13.6,0,0,female,top,top183,GRETA BUTTON KNIT VEST TOP,white,"Knit, Non sheer, Functional buttons, Tortoise Shell Buttons Differ from Piece to Piece",,s,0,3,31.9,0,Little house on the prairie top,yes
somerset,163.91,17.2,14.3,18.9,female,dress,dress183,DESIRAE PEARL CHAIN SATIN COWL DRESS,seafoam,"Satin, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Removable chain straps",,m,1,3,33.9,33.9,"Great idea, okay execution",yes
somerset,170.86,14.7,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,brown,"Soft knit, Stretchable, Functional buttons",,s,0,5,40.9,0,Perfect maternity top!,no
somerset,151.94,16.6,14.7,18.6,female,dress,dress183,AMABEL RUCHED BUTTON SHIRT DRESS,brown,"Polyester, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional buttons, Ruched details",,m,0,1,33.9,0,"Beautiful dress, awkward fit",no
somerset,147.83,0,12.7,18.2,female,bottom,bottom183,HARRIET PIPED CULOTTES,brown,"Synthetic Cotton Blend, Fully Lined, Non sheer, Slight Stretch, Functional pockets, Functional clasp, Functional zipper",,s,0,5,35.9,0,Great fitting jeans,no
somerset,172.78,0,12.6,18.7,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,4,4,30.9,123.6,Love these jeans!,yes
bugis,176.16,14.6,0,0,female,top,top183,CELINE HIGH CUT RIBBED TOP,black,"Cotton Rib, None, Non sheer, Stretchable",,s,2,3,29.9,59.8,Love this top,yes
club street,151.7,14.4,0,0,female,top,top183,CELINE HIGH CUT RIBBED TOP,black,"Cotton Rib, None, Non sheer, Stretchable",,s,0,2,29.9,0,,no
somerset,168.66,17.3,14.4,19.1,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,grey,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",,m,0,5,32.9,0,Sweet flattering dress,no
somerset,150.63,16.9,14.8,19.1,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,0,3,29.9,0,,no
club street,158.62,15.2,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,matcha,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",,m,0,4,30.9,0,Pregnant ladies,no
club street,170.35,0,13,20.7,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,l,1,4,30.9,30.9,Not great fit for those with long legs,yes
bugis,152.57,0,13.7,20.5,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,white,"Soft knit, Stretchable, Functional buttons",,l,0,2,30.9,0,Meh,no
bugis,161.61,18.2,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,m,3,5,33.9,101.7,Great piece,yes
somerset,169.64,0,13.8,19.6,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,m,1,,30.9,30.9,Stylish and functional,yes
club street,155.49,17.2,14.6,19.1,female,dress,dress183,VENICIA SLIT MIDI DRESS,black,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,m,0,4,34.9,0,Wonderful dress!,no
somerset,166.31,0,15.2,20.9,male,bottom,bottom183,LIAM RIPPED DENIM JEANS,light denim,"Functional button, Functional belt loop, Functional zipper, Functional front and back pockets, follow uniqlo sizing",,m,0,2,40.9,0,I think i like these,no
club street,150.45,13.4,0,0,female,top,top183,GRETA BUTTON KNIT VEST TOP,white,"Knit, Non sheer, Functional buttons, Tortoise Shell Buttons Differ from Piece to Piece",,s,3,2,31.9,95.7,,yes
bugis,179.1,0,15.7,20,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,beige,"Polyester, Fake Pockets, Non-Stretchable",,m,0,5,30.9,0,Size up,no
somerset,163.39,16.9,14.1,18.6,female,dress,dress183,AMABEL RUCHED BUTTON SHIRT DRESS,gunmetal,"Polyester, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional buttons, Ruched details",,m,0,1,33.9,0,Can be flattering,no
somerset,171.89,14,0,0,female,top,top183,LINDSAY HALTER SHEER SLEEVE TOP,navy,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Concealed back zipper",,s,2,4,34.9,69.8,,yes
bugis,172.88,0,14.3,20.1,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,l,0,2,30.9,0,,yes
somerset,155.9,18.5,0,0,male,top,top183,ELLIOT JERSEY OVERSIZED TEE,beige,"Cotton jersey, Non Sheer, Slight Stretch",,m,0,2,30.9,0,Great twist on a classic,no
somerset,166.5,0,12,18.6,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,4,2,30.9,123.6,The most flattering pants in your closet,yes
somerset,156.25,17.1,14.9,20.1,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,grey,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",,l,0,1,32.9,0,Polka dot perfection,no
club street,157.13,17.3,14.8,18.6,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,grey,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",,m,3,5,32.9,98.7,"Love, love this flattering dress",yes
somerset,164.4,16.3,0,0,female,top,top183,KATIE SWEETHEART BUTTON PUFF SLEEVE TOP,blush,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Non-functional buttons",,l,0,4,33.9,0,Pretty,no
bugis,162.11,19.5,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,l,0,,35.9,0,,no
somerset,174.78,15.9,0,0,female,top,top183,CELINE HIGH CUT RIBBED TOP,grey,"Cotton Rib, None, Non sheer, Stretchable",,m,0,1,29.9,0,Love this!,no
club street,159.6,0,12.4,19.1,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,m,0,,30.9,0,Freshly fashionable & comfy,no
bugis,151.63,0,15.9,20.1,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,beige,"Polyester, Fake Pockets, Non-Stretchable",,m,1,4,30.9,30.9,Unique and well made,yes
somerset,145.93,0,15.8,20.7,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,beige,"Polyester, Fake Pockets, Non-Stretchable",,m,1,4,30.9,30.9,Could not get it over my calves,yes
somerset,161.85,19.4,0,0,male,top,top183,ELLIOT JERSEY OVERSIZED TEE,pink,"Cotton jersey, Non Sheer, Slight Stretch",,l,0,5,30.9,0,Love,no
somerset,159.98,0,12.8,18.9,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,0,1,30.9,0,Love these pants!,no
somerset,174.95,14,0,0,female,top,top183,LINDSAY HALTER SHEER SLEEVE TOP,maroon,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Concealed back zipper",,s,0,2,34.9,0,Good quality but ok fit,no
somerset,180.7,19.4,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,l,0,3,33.9,0,Functionality with flair,yes
bugis,181.75,13.1,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,beige,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",,s,0,1,35.9,0,"Beautiful top, but very thin",yes
club street,184.83,17.3,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,s,0,4,33.9,0,Bettors off the shoulder top is a must!,no
bugis,163.66,0,12.2,18.4,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,white,"Soft knit, Stretchable, Functional buttons",,s,0,3,30.9,0,Great fleece lined leggings....,no
somerset,163.28,17.1,14.3,18.9,female,dress,dress183,ANDRELLE PLAID SKORTS DRESS,plaid,"Polyester, Fully lined bodice, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Adjustable straps",,m,0,5,29.9,0,Gorgeous,no
somerset,160.39,16.6,14.8,19.1,female,dress,dress183,DESIRAE PEARL CHAIN SATIN COWL DRESS,lilac,"Satin, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Removable chain straps",,m,0,2,33.9,0,Pretty party dress with some issues,no
bugis,184.44,17.2,14.7,19,female,dress,dress183,VENICIA SLIT MIDI DRESS,maroon,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,m,0,5,34.9,0,Should have believed the negative reviews,no
club street,183.91,0,15.8,20.8,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,denim,"Polyester, Fake Pockets, Non-Stretchable",berms,m,0,2,30.9,0,My favorite jeans,yes
somerset,162.9,0,12.7,18.1,female,bottom,bottom183,PHYLLIS EMBROIDERY EYELET SHORTS,white,"Embroidery cotton, Fully lined, Non sheer, No stretch, Concealed back zipper, *Floral placement differs for each piece",,s,4,4,34.9,139.6,Lean and long,yes
somerset,168.44,17.3,15,18.5,female,dress,dress183,THEA FLUTTER SLEEVE MIDI DRESS ,floral,"Embroidery cotton, Fully lined, Non sheer, No stretch, Concealed back zipper, *Floral placement differs for each piece",,m,0,3,30.9,0,Super cute dress,no
somerset,171.16,16.7,14.3,18.8,female,dress,dress183,ANDRELLE PLAID SKORTS DRESS,plaid,"Polyester, Fully lined bodice, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Adjustable straps",,m,0,5,29.9,0,Frumpy and clingy,no
club street,174.02,0,12.2,18.7,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,0,1,30.9,0,Love,no
club street,161.59,0,14,19.7,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,l,0,2,30.9,0,Pass on this one...,no
somerset,164.4,14.3,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,blue,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",blue,s,2,5,30.9,61.8,Cute and quirky,yes
club street,181.23,13.3,0,0,female,top,top183,ELAINE JERSEY CROPPED PULLOVER ,gingham,"Cotton jersery, slight stretch, Non sheer",gingham,s,0,5,35.9,0,Very flattering fit,no
somerset,154.99,0,12.8,18.2,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",bottom183,s,0,5,30.9,0,"Pretty on the hanger, weird on me",no
somerset,154.47,16.7,0,0,female,top,top183,ELAINE JERSEY CROPPED PULLOVER ,gingham,"Cotton jersery, slight stretch, Non sheer",gingham,l,3,,35.9,107.7,,yes
bugis,164.88,17,14.4,19.3,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,grey,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",,m,0,5,32.9,0,Beautiful dress--if you can figure out your size!,no
bugis,173.13,19.1,0,0,male,top,top183,ELLIOT JERSEY OVERSIZED TEE,pink,"Cotton jersey, Non Sheer, Slight Stretch",,l,2,5,30.9,61.8,Beautiful top,yes
somerset,157.8,16.5,14.6,18.9,female,dress,dress183,ANDRELLE PLAID SKORTS DRESS,plaid,"Polyester, Fully lined bodice, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Adjustable straps",,m,4,3,29.9,119.6,Tight neck,yes
bugis,174.21,17.2,14.4,19,female,dress,dress183,VENICIA SLIT MIDI DRESS,black,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,m,2,4,34.9,69.8,Great fit,yes
